co,lat,lon,npop,whit,blac,hisp,o65,hsed,coll,inco,bush,gore,brow,nade,harr,hage,buch,mcre,phil,moor
1.0,29.7,82.4,198326.0,74.4,21.8,4.7,9.4,82.7,34.6,19412.0,34124.0,47365.0,658.0,3226.0,6.0,42.0,263.0,4.0,20.0,21.0
2.0,30.3,82.3,20761.0,82.4,16.8,1.5,7.7,64.1,5.7,14859.0,5610.0,2392.0,17.0,53.0,0.0,3.0,73.0,0.0,3.0,3.0
3.0,30.2,85.6,146223.0,84.2,12.4,2.4,11.9,74.7,15.7,17838.0,38637.0,18850.0,171.0,828.0,5.0,18.0,248.0,3.0,18.0,27.0
4.0,29.9,82.2,24646.0,76.1,22.9,2.6,11.8,65.0,8.1,13681.0,5414.0,3075.0,28.0,84.0,0.0,2.0,65.0,0.0,2.0,3.0
5.0,28.3,80.7,460977.0,88.3,9.2,4.1,16.5,82.3,20.4,19567.0,115185.0,97318.0,643.0,4470.0,11.0,39.0,570.0,11.0,72.0,76.0
6.0,26.1,80.5,1470758.0,80.3,17.5,10.9,20.3,76.8,18.8,24706.0,177323.0,386561.0,1212.0,7101.0,50.0,129.0,788.0,34.0,74.0,124.0
7.0,30.4,85.2,12337.0,81.6,16.9,1.6,14.3,55.9,8.2,12570.0,2873.0,2155.0,10.0,39.0,0.0,1.0,90.0,1.0,2.0,3.0
8.0,26.9,82.0,133681.0,94.3,4.4,3.4,33.4,75.7,13.4,18977.0,35426.0,29645.0,127.0,1462.0,6.0,15.0,182.0,3.0,18.0,12.0
9.0,28.8,82.5,112454.0,96.2,2.8,2.5,30.7,68.6,10.4,16060.0,29765.0,25525.0,194.0,1379.0,5.0,16.0,270.0,0.0,18.0,28.0
10.0,30.0,81.9,135179.0,91.0,6.0,3.5,7.9,81.2,17.9,18598.0,41736.0,14632.0,204.0,562.0,1.0,14.0,186.0,3.0,6.0,9.0
11.0,26.1,81.4,195731.0,93.3,5.7,17.1,21.5,79.0,22.3,30906.0,60433.0,29918.0,185.0,1399.0,7.0,34.0,122.0,4.0,10.0,29.0
12.0,30.2,82.6,52856.0,78.3,20.5,1.9,12.3,69.0,11.0,15349.0,10964.0,7047.0,127.0,258.0,1.0,7.0,89.0,2.0,8.0,5.0
13.0,27.2,81.8,26259.0,80.6,18.1,12.1,18.0,54.5,7.6,16544.0,4256.0,3320.0,23.0,157.0,0.0,0.0,36.0,3.0,8.0,2.0
14.0,29.6,83.2,12563.0,89.8,9.5,1.2,14.4,57.7,6.2,12035.0,2697.0,1826.0,32.0,75.0,0.0,2.0,29.0,0.0,3.0,2.0
15.0,30.3,81.6,732622.0,69.4,27.5,3.4,10.7,76.9,18.4,20686.0,152098.0,107864.0,952.0,2757.0,37.0,162.0,652.0,15.0,58.0,41.0
16.0,30.6,87.3,282604.0,73.3,22.7,2.6,11.7,76.2,18.2,17661.0,73017.0,40943.0,296.0,1727.0,6.0,24.0,502.0,3.0,110.0,20.0
17.0,29.5,81.3,46128.0,88.5,9.8,5.9,23.0,78.7,17.3,15613.0,12613.0,13897.0,60.0,435.0,1.0,4.0,83.0,3.0,3.0,12.0
18.0,29.8,84.8,10133.0,84.5,14.5,1.0,17.8,59.5,12.4,15735.0,2454.0,2046.0,17.0,85.0,1.0,3.0,33.0,0.0,3.0,2.0
19.0,30.6,84.6,45441.0,37.6,61.8,2.9,11.6,59.9,11.2,14416.0,4767.0,9735.0,24.0,139.0,3.0,4.0,38.0,4.0,7.0,6.0
20.0,29.7,82.8,13367.0,90.0,9.3,2.1,13.0,63.0,7.4,12865.0,3300.0,1910.0,52.0,97.0,0.0,1.0,29.0,0.0,2.0,4.0
21.0,27.0,81.2,9698.0,79.6,13.7,10.1,15.3,57.4,7.1,14789.0,1841.0,1442.0,12.0,56.0,0.0,3.0,9.0,1.0,0.0,1.0
22.0,29.9,85.2,13926.0,73.9,25.2,1.1,13.6,66.4,9.2,15482.0,3550.0,2397.0,21.0,86.0,2.0,4.0,71.0,2.0,2.0,9.0
23.0,30.5,82.9,12521.0,56.3,43.0,3.6,10.9,58.4,7.0,12357.0,2146.0,1722.0,12.0,37.0,4.0,1.0,23.0,8.0,7.0,4.0
24.0,27.5,81.8,22113.0,93.1,5.9,28.4,13.3,54.8,8.6,16812.0,3765.0,2339.0,17.0,75.0,0.0,2.0,30.0,0.0,2.0,3.0
25.0,26.6,81.2,31634.0,78.2,18.8,26.6,9.9,56.6,10.0,17823.0,4747.0,3240.0,11.0,103.0,3.0,1.0,22.0,2.0,7.0,2.0
26.0,28.6,82.5,125537.0,94.4,4.6,4.0,29.6,70.5,9.7,16062.0,30646.0,32644.0,116.0,1501.0,8.0,26.0,242.0,4.0,10.0,22.0
27.0,27.3,81.3,76854.0,87.1,11.6,6.7,32.4,68.2,10.9,17655.0,20206.0,14167.0,64.0,545.0,6.0,16.0,127.0,3.0,7.0,8.0
28.0,27.9,82.3,909444.0,82.8,14.9,16.0,12.3,75.6,20.2,20167.0,180760.0,169557.0,1138.0,7490.0,35.0,217.0,847.0,29.0,68.0,154.0
29.0,30.9,85.8,18382.0,91.7,6.5,1.7,15.5,57.1,7.4,12790.0,5011.0,2177.0,18.0,94.0,1.0,7.0,76.0,3.0,6.0,2.0
30.0,27.7,80.6,99215.0,89.2,9.9,3.9,26.6,76.5,19.1,28977.0,28635.0,19768.0,122.0,950.0,4.0,13.0,105.0,2.0,13.0,10.0
31.0,30.8,85.2,45706.0,69.5,29.6,3.5,14.4,61.6,10.9,15519.0,9138.0,6868.0,40.0,138.0,0.0,2.0,102.0,1.0,4.0,7.0
32.0,30.4,83.9,13232.0,49.4,50.1,1.3,13.4,64.1,14.7,15574.0,2478.0,3041.0,14.0,76.0,2.0,1.0,29.0,1.0,0.0,0.0
33.0,30.0,83.2,6289.0,83.0,16.4,5.1,10.7,58.2,5.2,13663.0,1670.0,789.0,6.0,26.0,2.0,0.0,10.0,1.0,1.0,0.0
34.0,28.8,81.7,196214.0,88.2,10.9,3.8,26.3,70.6,12.7,18269.0,50010.0,36571.0,204.0,1460.0,4.0,36.0,289.0,1.0,21.0,15.0
35.0,26.6,81.9,387091.0,91.1,7.8,5.9,24.4,76.9,16.4,22053.0,106141.0,73560.0,538.0,3587.0,30.0,81.0,305.0,5.0,34.0,96.0
36.0,30.5,84.3,215170.0,70.4,27.3,3.1,8.4,84.9,37.1,16705.0,39053.0,61425.0,330.0,1932.0,9.0,28.0,282.0,7.0,16.0,31.0
37.0,29.3,82.8,32254.0,84.4,14.2,2.6,17.6,62.8,8.3,13745.0,6858.0,5398.0,92.0,284.0,1.0,1.0,67.0,1.0,10.0,12.0
38.0,30.2,84.9,6703.0,78.1,20.9,3.1,10.7,56.7,7.3,14896.0,1317.0,1017.0,12.0,19.0,0.0,3.0,39.0,0.0,1.0,2.0
39.0,30.5,83.5,17558.0,53.9,45.6,1.9,13.8,56.5,9.7,13002.0,3038.0,3014.0,18.0,54.0,0.0,2.0,29.0,1.0,1.0,5.0
40.0,27.5,82.4,237159.0,89.8,9.0,5.8,27.8,75.6,15.5,23031.0,57952.0,49177.0,242.0,2491.0,5.0,35.0,271.0,3.0,19.0,26.0
41.0,29.2,82.1,237308.0,84.3,14.6,4.0,21.4,69.6,11.5,14502.0,55141.0,44665.0,662.0,1809.0,13.0,26.0,563.0,6.0,22.0,49.0
42.0,27.1,80.4,116087.0,91.8,6.9,6.2,26.6,79.7,20.3,31996.0,33970.0,26620.0,109.0,1118.0,14.0,29.0,112.0,7.0,20.0,14.0
43.0,25.6,80.5,2044600.0,77.0,21.2,54.4,14.4,65.0,18.8,20014.0,289492.0,328764.0,760.0,5352.0,87.0,119.0,560.0,35.0,69.0,124.0
44.0,25.1,81.2,81919.0,92.3,6.2,15.8,15.9,79.7,20.3,25160.0,16059.0,16483.0,162.0,1090.0,1.0,26.0,47.0,0.0,3.0,7.0
45.0,30.6,81.8,54096.0,87.3,11.9,1.5,9.8,71.2,21.5,20874.0,16280.0,6879.0,62.0,253.0,0.0,7.0,90.0,4.0,3.0,3.0
46.0,30.7,86.6,167580.0,85.3,10.3,4.2,9.1,83.8,21.0,18959.0,52093.0,16948.0,313.0,985.0,4.0,15.0,267.0,2.0,33.0,20.0
47.0,27.4,80.9,33102.0,91.1,7.5,14.8,14.6,59.1,9.8,15162.0,5057.0,4588.0,21.0,131.0,1.0,4.0,43.0,1.0,3.0,4.0
48.0,28.5,81.3,783974.0,79.1,17.5,12.3,10.4,78.8,21.2,20469.0,134517.0,140220.0,891.0,3879.0,13.0,65.0,446.0,7.0,41.0,46.0
49.0,28.1,81.1,142128.0,90.7,6.6,15.3,13.2,73.7,11.2,16256.0,26212.0,28181.0,309.0,732.0,10.0,20.0,145.0,5.0,10.0,33.0
50.0,26.6,80.4,1018524.0,83.9,14.4,9.8,23.7,78.8,22.1,33518.0,152846.0,268945.0,743.0,5564.0,45.0,143.0,3407.0,302.0,188.0,103.0
51.0,28.3,82.4,320253.0,96.5,2.3,4.4,32.0,66.9,9.1,16924.0,68582.0,69564.0,413.0,3393.0,19.0,83.0,570.0,14.0,16.0,77.0
52.0,27.9,82.7,871766.0,89.1,9.0,3.1,26.6,78.1,18.5,24796.0,184823.0,200629.0,1230.0,10022.0,41.0,442.0,1013.0,27.0,72.0,170.0
53.0,28.0,81.7,448646.0,83.3,15.4,5.3,18.2,68.0,12.9,17824.0,90180.0,75193.0,365.0,2062.0,8.0,59.0,532.0,5.0,46.0,36.0
54.0,29.6,81.7,70430.0,78.1,20.9,3.4,17.6,64.3,8.3,14250.0,13447.0,12102.0,114.0,377.0,2.0,7.0,148.0,3.0,10.0,12.0
55.0,30.7,87.0,114481.0,92.6,4.6,2.0,8.9,78.5,18.6,17127.0,36274.0,12802.0,131.0,724.0,1.0,13.0,311.0,1.0,43.0,19.0
56.0,27.2,82.4,301644.0,94.0,5.1,2.8,32.3,81.3,21.9,30205.0,83100.0,72853.0,431.0,4069.0,11.0,94.0,305.0,5.0,15.0,59.0
57.0,28.7,81.2,344729.0,87.4,9.8,8.4,10.1,84.6,26.3,21815.0,75677.0,59174.0,550.0,1946.0,6.0,38.0,194.0,5.0,18.0,26.0
58.0,29.9,81.4,112707.0,88.7,10.1,3.0,15.6,79.9,23.6,25637.0,39546.0,19502.0,210.0,1217.0,4.0,11.0,229.0,2.0,12.0,13.0
59.0,27.4,80.4,179559.0,79.6,19.0,5.2,20.1,71.7,13.1,16483.0,34705.0,41559.0,165.0,1368.0,4.0,12.0,124.0,10.0,13.0,29.0
60.0,28.7,82.1,39428.0,81.0,18.1,3.1,20.3,64.3,7.8,14606.0,12127.0,9637.0,53.0,306.0,2.0,2.0,114.0,0.0,3.0,17.0
61.0,30.2,83.0,33077.0,82.2,16.9,2.0,15.8,63.8,8.2,14773.0,8006.0,4075.0,52.0,180.0,2.0,4.0,108.0,0.0,9.0,5.0
62.0,30.0,83.6,18718.0,77.1,21.5,1.3,12.7,62.1,9.8,15459.0,4056.0,2649.0,4.0,59.0,0.0,3.0,27.0,1.0,8.0,1.0
63.0,30.0,82.4,12359.0,71.0,27.8,4.8,7.0,67.7,7.9,10783.0,2332.0,1407.0,15.0,33.0,1.0,0.0,37.0,0.0,1.0,0.0
64.0,29.1,81.1,419797.0,88.0,10.5,5.0,22.7,75.4,14.8,17778.0,82214.0,97063.0,442.0,2903.0,8.0,36.0,496.0,5.0,20.0,69.0
